464;Aliberti editore ( Novelli )
465;FV
466;CdN
467;Folio Morellini
468;Salani (Schena)
469;Intbooksit
470;Amplats
471;Luca Visentini Editore
472;Carsa
473;Grange book
474;Jaca Book
475;Ciscra Edizioni
476;The Pepin Press
477;Il Mulino
478;Les Voyages du Reve
479;Lozzi e Rossi
480;Orme editore
481;Robin
482;Cai Imola
483;Vianello
484;teNeues ( Marinoni )
485;Antiga edizioni
486;Tormena
487;nottetempo
488;Martini Multimedia 0166-513640
489;Contrasto - Rodriguez
491;Zelig editore
492;Outline
493;Alcon
494;Rusconi
495;Editoriale Bologna
496;Alberto Perdisa editore
497;blu
498;Edizioni De Luca
499;Edizioni Lativa
500;Parkstone
501;Biblos
502;Terra Antartica Publication
503;The British Museum Press
504;Aperture
505;La fotometalgrafica emiliana
506;Michael Tomkinson Publication
507;Edizioni Selecta
508;Bologna 2000
509;Il Castello
510;LEM
511;Edizioni il Punto d' incontro - Guiducci
512;Willow Creek Press
513;Todtri
514;PRC Publishing
515;Grange books
516;Salamander
517;Aurum press
518;Saraband
519;Abbeville
520;D
521;Thames & Hudson
522;Dumont Monte
523;Chartwell Books, Inc.
524;Prestel
525;Norton
526;Bulfinch
527;Euroedit Trento
528;Franco Pace
529;Fotogramma
530;edizioni Tracce
531;Publilux
532;La cooperativa di Cortina
533;The Times
534;Climbing House
535;EDB
536;Interlinea edizioni
537;North Eastern Divers
538;Esterbauer
539;Martina
540;Electa
541;Sidarta
542;Renografica
543;Luni editrice (Gasperoni)
545;Merrell publisher
547;Rizzoli libri illustrati
548;Nuovadimensione
549;persico
550;Il poligrafo
551;Guido Tommasi editore
552;Geo Traveller
553;De Ferrari
554;Garage club
555;Ariaperta edizioni
556;Union card
557;TSI
558;Leconte
559;Congedo editore
560;ITMB
561;Vivicamper
562;Edition Panorama
563;Orione
564;Fermento
565;Mare di carta
566;Il Minotauro
567;Tabacco-Euroservizi
568;Fanucci editore
569;Di Renzo editore
570;Fernandel
571;Intra moenia
572;Temi
573;Allemandi
574;Porzi editoriale
575;Centro velico Caprera
576;Inedita
577;Manifesto libri
578;Edizioni lavoro
579;Canova
580;Provincia di Modena
581;ARA edition
582;K-Flash
583;Libreria editrice Fiorentina
584;Cortina Magazine Edizioni
585;Libreria Pilotto Editrice
586;Magnus
587;Bike Line
588;Edizioni del Capricorno
589;Edizioni Socrates
590;Leonotti Luciano
591;Arnaldo Forni editore
593;Poliedro
594;Ananke
595;Giovanni Renzi
596;Editrice A & C Mondovì
597;Edizioni microart's
598;Cai Arsiero
599;C.D.A.A.
600;Pareti e montagne Edizioni
601;Mimesis
602;Menabò editore  0543-798463
603;Editore 603. Modif. questo campo per immetterlo!
604;Boroli Editore
605;Laterza
606;Agriturist
607;Books Intern.
608;Nicolodi
609;Jingo Wobbly
610;Instarlibri
611;FBE Edizioni
612;Vallecchi
613;La nuova frontiera
614;Terre di mezzo edizioni (Marinoni)
615;Transalpina Editrice
616;Minerva
617;Raffaello Cortina editore
618;Modern languages
619;Johan & Levi
620;Lampi di stampa  (Salvato)
621;Itinera progetti
622;Modern dizionari
623;Effequ
624;Edizioni Internazionali Beta
625;Edizioni l' età dell' acquario
626;Massimiliano Boni Editore
627;Techno Press
628;Macchione editore
629;Danilo Zanetti editore
630;Scriba
631;Nuages ( Marinoni )
632;Equatore
633;Concabi
634;Lamrt
635;La bottega del caffè letterario
636;Collins (Penguin Italia)
637;Hangar ediziponi (Iubi)
638;Le Balze
639;Atlante
640;Fratelli Spada Editori
641;DK (Penguin Italia)
642;Antersass
643;Gemini
644;Edition de la Martiniere
645;Pietro Pintore
646;Castalia
647;Artestampa
648;Endevour
649;Venexia
650;Ut Orpheus
651;nzvp
652;Ceul Azul
653;Iceberg film
654;CAI Cava dei Tirreni
655;Traven books
656;Kalya
657;Magnamare
658;Stefano Monetti
659;Tirso
660;S & F
661;L'archivolto
662;Polistampa
663;Azienda litografica Genovese
664;L' autore libri Firenze
665;Itinera
666;Sonda
667;Ancora
668;Agriturismo di Romagna
669;Smart comunicazioni
670;Insigma
671;Arcadia
672;Monte Meru editrice
673;Mattioli
674;Leonardo.it
675;Pontegobbo
676;Piero Lacaita Editore
677;Leggendaria
678;ART&IMAGE
679;Kina Italia
680;Punto Marte
681;Comune di Sasso Marconi
682;Net ( Salvato )
683;tea
684;Motta editore
685;effigie
686;Città del silenzio edizioni
687;Korsch Verlag
688;Komshe
689;Morellini
690;Ulda
691;Nomos Edition
692;Città aperta
693;C&B
694;World Images
695;Bononia
696;Edizioni Grossi
697;Buhec Publishing
698;Bucher Publishing
699;Bandecchi&Vivaldi
700;Lapis e Palombi & Partners
701;Protagon Editori
702;A & G
703;Trenta Editore
704;Edizioni del Girasole
705;Martin Sloboda
706;Idea Montagna Edizioni
707;Coedisar
708;Stampa Alternativa
709;Edizioni SEAM
710;Andrea Parodi Editore
711;ffme
712;Excelsior 1881
713;Cooper
714;MondoGis
715;Sellerio
716;Armando editore
717;Longo editore
718;Class editori
719;Edup
720;G 01
721;Greco & Greco
722;Fabrizio Elios Editore
723;Associaz. Italiana Alberghi per la Gioventù
724;Valentina Trentini editore
725;Coop tipografica
726;Sovera
727;22 publishing
728;Heye
729;Polaris ( Sondrio )
730;COEL
731;Edis
732;Editrice Felsinea
733;Piola Michel
734;Medusa
735;Damiani
736;Il Ponte
737;Idea Books ( De Agostini )
738;Postcart
739;Associazione Orizzonti Verticali
740;Il Bulino
741;Michele Beltrame Editore ( Cierre )
742;Edizioni e/o
743;Candolini Editore
744;Catographia
745;MapStudio
746;Ilex
747;Socialmente
748;Il Grandevetro
749;La piccola
750;Natura avventura edizioni
751;affinit
752;Simple Edizioni
753;Il Frangente
754;Whitelight
755;Editografica
756;Cargo
757;Settecolori edizioni
758;Andromeda
759;Mir edizioni
760;Red edizioni
761;Vida
762;Coniglio Editore
763;Studio editoriale Gordini
764;Bellavite
765;Aracne
766;Vaccari
767;Minimum fax
768;Edizioni Ambiente
769;Sillabe
770;Lightbox
771;Edizioni Nautiche Guglielmi
772;Peliti associati ( Gasperoni )
773;Iacobelli
774;Eurofishmarket
775;Bacchilega
776;Tinarelli Editore
777;Il Lupo
778;Pacini Fazzi
779;Edagricole
780;Asterios
781;Comunicarte
782;Footprint W.S.
783;Gaffi Editore
784;Avagliano editore
785;Jonglez
786;Il Filo
787;Besa
788;Epochè
789;Francesco Brioschi
790;Effatà
791;L' Ortensia Rossa
792;Zandonai
793;Gorée
794;Astraea
795;Arada
796;Reverdito
797;Ryuta Naruse
798;In Magazine
799;Top Canyon
800;La grafica
801;Quodlibet
802;Altromondo editore
803;Carte scoperte
804;Colonnese
805;Eccentrico
806;Odos
807;Saturnia
808;Marco Bozzetta Editore
809;Egea
810;La Venta
811;Matonti editore
812;Malatempora
813;Ilisso
814;Ediesse
815;Verdechiaro
816;Raetia
817;Modern Publishing
818;:duepunt Edizionii
819;Lettera Ventidue
820;ETS edizioni
821;MUP
822;Alpine Studio
823;Ortensia
824;O barra O
825;Avalon Travel
826;Manni
827;BFS
828;Idea Montagna
829;Franco Cosimo Panini
830;E-Logo
831;Edizioni dell'Ambrosino
832;Bevivino
834;Editore 833. Modif. questo campo per immetterlo!
835;Vallardi viaggi
836;Tushita
837;Libri Scheiwiller
838;Mare verticale
839;Gambero rosso
840;Derive Approdi
841;Archetipolibri
842;ObarraO Edizioni
843;Edizioni dell'Asino
844;GBS-UBS
845;Input edizioni
846;Aereostella
847;Il Resto del Carlino
848;Poligrafici editoriale
849;Bagnoli Roberto
850;Athena
851;Pezzini
852;Costess New Media
853;L' Alpe Editrice
854;Salerno editrice
855;Casini
856;Rogiosi
857;edizioni 31
858;Fusta
859;Dallanebbiaallenuvole
860;Edizioni plus
861;Monte Universale Parma
862;Il Pirata
863;Acrosslive
864;Debatte
865;AIEA
866;Grafiche ancora
867;Oase
868;Shake Edizioni
869;Susalibri
870;Odoya
871;Azzurra outdoor
872;Edizioni Pugliesi
873;Edizioni Alphabeta Verlag
874;Salvietti e Baruffi
875;Junior
876;Infinito
877;Argo
878;La Linea
879;Ars Book
880;Clean edizioni
881;magenes
882;Fridericiana Editrice Napoli
883;La Serenissima
884;Dalai editore
885;Galaad
886;Società editrice Romana
887;Transeuropa
888;Verdone editore
889;Sironi
890;Ecoalfabeto
891;Lexis
892;L'arcobaleno
893;Color de Soli
894;Eurilink
895;Società editrice Il Ponte Vecchio
896;Pixar ( De Agostini )
897;Colla
898;La Caravella
899;Prima Pagina
900;Altre Onde
901;Socrates
902;La Biblioteca Junior
903;Rediscovering the Americas
904;Irradiazioni
905;Longo un mondo di specialità
906;Sassi
907;Chiarelettere
908;Beat
909;Curcio
910;LAC
911;GS
912;Metropoli d' Asia
913;Fenoglio editore
914;Camera chiara edizioni
915;Exorma
916;Gingko
917;Maglio
918;Sandro Teti editore
919;Graph sas
920;Mela edizioni
921;Marco Carnovale
922;add
923;vers
924;Celid
925;Sogno
926;My Life
927;Tresogni
928;NGV
929;Dall'Oglio
930;Vel
931;Infosasso
932;Edizioni enrico Spanu
933;Le Meraviglie
934;Outdor Editios
935;Outdoor Editions
936;Il Margine
937;LEV
938;edt
939;Adda
940;La Repubblica
941;Sometti
942;Controluce
943;Edifir
944;Maria Margherita Bulgarini
945;Fulìe
946;Fuorionda
947;San Paolo
948;Soletti editore
949;Drioli
950;LET
951;Sensoinverso
952;I Libri della Bussola
953;Reise
954;Caosfera
955;Cleup
956;IGA
957;Alpes
958;Ghibli
959;Documentaria
960;I portici di Bologna
961;Cines
962;Hermatena
963;Il Sentiero
964;Boreal Mapping
965;Neo
966;Bulgarini
967;Biglia Blu
968;Emons
969;Italica edizioni
970;Ad est dell' equatore
971;Barney
972;Cento autori
973;Giorgio Pozzi
974;Panini
975;Oltre Edizioni
976;Eleuthera
977;Vividolomiti
978;Pro Loco Pracchia
979;Settegiorni
980;Zanetti
981;Giubilei Regnani
